id_deputado,nome_completo,sexo,uf,partido_atual,profissao,eleicao_ocupacao,eleicao_grau_instrucao,eleicao_partido,situacao,data_nascimento,data_falecimento,ano_inicio,data_saida,soma_documento,soma_glosa,soma_liquido
3151,Jairo Ataíde Vieira,M,MG,DEM,0,26,Superior completo,DEM,E,1944-09-18,,2007,,1282418.35,13276.59,1257641.76
3155,Geraldo Tenuta Filho,M,SP,DEM,390,26,Superior completo,DEM,E,1958-08-16,,2007,2007-04-23,622893.09,3541.46,619351.63
4927,Jorge De Faria Maluly,M,SP,DEM,201,26,Superior completo,DEM,E,1960-09-07,,2007,2007-04-23,573399.73,6761.66,566638.07
4928,Eduardo Benedito Lopes,M,RJ,PRB,107,,,,E,1964-09-19,,2007,2009-10-08,400706.11,30880.91,369825.20
4929,Joseph Wallace Faria Bandeira,M,BA,PT,0,199,Superior completo,PT,S,1949-11-06,,2007,,563267.06,3105.28,560161.78
4930,Sílvio Serafim Costa,M,PE,PSC,0,90,Ensino médio completo,PTB,E,1956-12-23,,2007,2013-10-08,1653434.07,14081.41,1639352.66
4931,Izalci Lucas Ferreira,M,DF,PSDB,423,303,Superior completo,PR,E,1956-04-07,,2011,2012-10-16,774804.25,1430.63,773083.74
62881,Francisco Danilo Bastos Forte,M,CE,PMDB,199,199,Superior completo,PMDB,E,1958-09-01,,2011,,948892.83,4822.80,915675.12
62926,Pastor Reinaldo,,RS,PTB,436,,,,,,,2003,,0.00,0.00,0.00
64224,Robério Nunes,,BA,PFL,436,,,,,,,2003,,0.00,0.00,0.00
64960,Maria Helena Veronese Rodrigues,F,RR,PSB,194,26,Superior completo,PSB,E,1949-06-15,,2003,,572395.96,11650.73,560745.23
65498,Lucia Vania,,GO,PP,436,,,,,,,1991,,0.00,0.00,0.00
65511,Miguel Arraes,,PE,PSB,436,,,,,,,1991,,0.00,0.00,0.00
65551,Wagner Lago,,MA,PP,436,,,,,,,2003,,0.00,0.00,0.00
65904,Maurilio Ferreira Lima,,,,436,,,,,,,1999,,0.00,0.00,0.00
65987,Lucia Braga,,PB,PDT,436,,,,,,,1991,,0.00,0.00,0.00
67138,Iracema Maria Portella Nunes Nogueira Lima,F,PI,PP,340,228,Superior completo,PP,E,1966-04-23,,2011,,981318.29,4084.68,977233.61
67836,Luiz Gushiken,,SP,PT,436,,,,,,,1991,,0.00,0.00,0.00
68731,José Henrique Oliveira,M,AM,SDD,255,245,Ensino médio completo,PR,E,1960-10-16,,2011,2013-10-02,950984.74,2071.29,944913.45
72553,Gessivaldo Isaias,,PI,PMDB,436,,,,,,,1999,,0.00,0.00,0.00
73416,Nelson Roberto Bornier De Oliveira,M,RJ,PMDB,199,26,Superior completo,PMDB,V,1950-01-14,,1991,,1269073.28,2884.28,1266189.00
73418,Noel De Oliveira,,,,436,44,Superior completo,PDT,,1929-06-26,,1995,,0.00,0.00,0.00
73420,Roberto Jefferson Monteiro Francisco,,RJ,PTB,436,,,,,,,1991,,0.00,0.00,0.00
73421,Ronaldo Cezar Coelho,,,,436,,,,,,,1995,,0.00,0.00,0.00
73422,Rubem Medina,,RJ,PFL,436,,,,,,,1991,,0.00,0.00,0.00
73424,Simão Sessim,M,RJ,PP,358,26,Superior completo,PP,E,1935-12-08,,1991,,1286026.39,2665.07,1283361.32
73426,Adhemar De Barros Filho,,,,436,199,Superior completo,PP,,1929-06-18,,1995,,0.00,0.00,0.00
73427,Alberto Goldman,,SP,PSDB,436,,,,,,,1991,,0.00,0.00,0.00
73428,José Aldo Rebelo Figueiredo,M,SP,PCDOB,281,281,Superior completo,PCDOB,L,1956-02-23,,1991,,696554.91,3630.80,692924.11
73430,Aloysio Nunes Ferreira,,SP,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73431,Antonio Carlos Pannunzio,M,SP,PSDB,239,26,Superior completo,PSDB,E,1943-07-29,,1995,,399170.84,2758.17,396412.67
73432,Antonio Kandir,,SP,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73433,Arlindo Chignalia Junior,M,SP,PT,196,196,Superior completo,PT,E,1949-12-24,,1995,,695947.96,2620.99,693326.97
73434,Arnaldo Faria De Sá,M,SP,PTB,343,26,Superior completo,PTB,E,1945-12-30,,1991,,780605.48,20.10,778373.62
73435,Ary Kara José,,SP,PPB,436,,,,,,,1991,,0.00,0.00,0.00
73437,Paulo Roberto Gomes Mansur,M,SP,PRB,32,26,Superior completo,PP,E,1951-07-07,,1991,2013-10-05,1482845.74,23319.92,1440279.01
73441,Celso Ubirajara Russomanno,M,SP,PP,147,,,,E,1956-08-20,,1995,,317384.35,1706.74,315677.61
73442,Valdemar Corauci Sobrinho,,SP,PFL,436,199,Superior completo,PSB,,1945-08-24,,1995,,0.00,0.00,0.00
73443,Antônio Henrique Bittencourt Cunha Bueno,,SP,PPB,436,,,,,,,1991,,0.00,0.00,0.00
73445,Delfim Netto,,SP,PPB,436,228,Superior completo,PSB,,1960-11-16,,1991,,0.00,0.00,0.00
73446,Duilio Pisaneschi,,,PTB,436,,,,,,,1995,,0.00,0.00,0.00
73447,Edson Edinho Coelho Araújo,M,SP,PMDB,254,199,Superior completo,PMDB,E,1949-07-30,,1995,,778047.27,8959.39,763558.76
73448,Eduardo Jorge Martins Alves Sobrinho,,SP,PT,436,,,,,,,1991,,0.00,0.00,0.00
73451,Carlos Fernando Zuppo Franco,,SP,PDT,436,,,,,,,1995,,0.00,0.00,0.00
73452,Franco Montoro,,SP,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73454,João Grandão E Outros,,MS,PT,436,,,,,,,1999,,0.00,0.00,0.00
73455,Pedro Pedrossian Filho,,MS,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73456,Waldemir Moka Miranda De Britto,M,MS,PMDB,57,,,,E,1951-10-10,,1999,,730280.18,2455.89,727824.29
73457,Airton Bernardo Roveda,M,PR,PR,306,228,Ensino médio completo,PR,E,1948-02-14,,1999,2007-03-23,256400.26,3747.28,252652.98
73458,Alex Canziani Silveira,M,PR,PTB,111,26,Superior completo,PTB,E,1964-06-11,,1999,,1362197.37,9574.18,1344250.69
73459,Florisvaldo Fier,M,PR,PT,73,196,Superior completo,PT,E,1950-11-12,,1999,,1073405.01,10167.17,1062584.56
73460,Gustavo Bonato Fruet,M,PR,PSDB,199,,,,E,1963-04-18,,1999,,281670.55,1415.71,280254.84
73461,Íris Xavier Simões,M,PR,PR,262,245,Superior incompleto,PR,E,1961-05-25,,1999,2010-02-23,134230.29,541.87,133688.42
73462,José Carlos De Castro Martinez,,PR,PTB,436,,,,,,,1999,,0.00,0.00,0.00
73463,Osmar José Serraglio,M,PR,PMDB,199,26,Superior completo,PMDB,E,1948-05-23,,1999,,1592398.17,19819.99,1572578.18
73464,Bernardino Barreto De Oliveira,M,PR,PRB,0,5,Ensino fundamental completo,PRB,S,1957-04-15,,1999,,268235.57,2016.94,250126.47
73465,Rafael Greca,,PR,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73466,Rubens Bueno,M,PR,PPS,81,44,Superior completo,PPS,E,1948-05-23,,1999,,594362.31,2314.07,591927.62
73467,Joaquim Dos Santos Filho,,PR,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73468,Antônio Carlos Konder Reis,,SC,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73469,Carlito Merss,M,SC,PT,400,,,,V,1955-09-16,,1999,,4585.26,0.00,4585.26
73470,Eni Voltolini,,SC,PPB,436,,,,,,,1999,,0.00,0.00,0.00
73471,Carlos Fernando Coruja Agustini,M,SC,PPS,14,,,,E,1954-12-04,,1999,,350194.41,525.43,349668.98
73472,Gervásio José Da Silva,M,SC,PSDB,70,26,Superior incompleto,PSDB,E,1955-05-24,,1999,2007-08-21,651141.31,12628.50,638512.81
73473,Leodegar Tiscoski,,SC,PPB,436,,,,,,,1999,,0.00,0.00,0.00
73474,Luci Teresinha Koswoski Choinacki,F,SC,PT,336,245,Ensino fundamental completo,PT,E,1954-03-17,,1991,,914664.65,1481.75,913182.90
73475,Renato Vianna,,SC,PMDB,436,,,,,,,1999,,0.00,0.00,0.00
73476,Vicente Augusto Caropreso,,SC,PSDB,436,,,,,,,1999,,0.00,0.00,0.00
73477,Alceu Collares,,RS,PDT,436,,,,,,,1999,,0.00,0.00,0.00
73478,Luiz Roberto De Albuquerque,M,RS,PSB,199,26,Superior completo,PSB,E,1963-01-06,,1999,,627675.88,4347.76,619969.03
73479,Luiz Carlos Repiso Riela,,RS,PTB,436,,,,,,,1999,,0.00,0.00,0.00
73480,Cezar Augusto Schirmer,M,RS,PMDB,72,,,,V,1952-02-23,,1999,,0.00,0.00,0.00
73481,Fernando Stephan Marroni,M,RS,PT,0,26,Superior completo,PT,E,1956-07-31,,1999,,1591091.37,25393.63,1562679.49
73482,Henrique Fontana Júnior,M,RS,PT,376,26,Superior completo,PT,E,1960-01-18,,1999,,1526145.67,26988.67,1437988.39
73483,Luis Carlos Heinze,M,RS,PP,165,26,Superior completo,PP,E,1950-09-14,,1999,,1537241.18,10673.83,1524499.72
73484,Marcos Flávio Rolim,,RS,PT,436,,,,,,,1999,,0.00,0.00,0.00
73485,Paulo José Gouvêa,,RS,PL,436,,,,,,,1999,,0.00,0.00,0.00
73486,Darci Pompeo De Mattos,M,RS,PDT,144,,,,E,1958-07-12,,1999,,548042.26,3553.40,544488.86
73487,Roberto Argenta,,RS,PHS,436,427,Superior incompleto,PDT,,1974-03-11,,1999,,0.00,0.00,0.00
73488,Synval Sebastião Duarte Guazzelli,,RS,PMDB,436,,,,,,,1999,,0.00,0.00,0.00
73489,Waldir Schmidt,,RS,PMDB,436,199,Superior completo,PRB,,1972-08-03,,1999,,0.00,0.00,0.00
73490,Ricarte De Freitas Junior,M,MT,PTB,199,,,,S,1952-01-17,,1999,,72885.88,179.70,72706.18
73491,Pedro Bittencourt,,,,436,,,,,,,1999,,0.00,0.00,0.00
73492,Antonio Carlos Silva Biscaia,M,RJ,PT,4,199,Ensino médio completo,PT,E,1942-06-03,,1999,,126909.93,187.17,126722.76
73507,Rosilda De Freitas,F,ES,PMDB,42,26,Superior incompleto,PMDB,E,1949-01-23,,1991,,1277008.31,32109.06,1243581.88
73531,Ivan Valente,M,SP,PSOL,384,26,Superior completo,PSOL,E,1946-07-05,,1995,,1217671.97,13351.83,1204320.14
73532,Jair Antonio Meneguelli,,SP,PT,436,,,,,,,1995,,0.00,0.00,0.00
73533,Joao Mellao Neto,,,,436,,,,,,,1991,,0.00,0.00,0.00
73534,João Paulo Cunha,M,SP,PT,263,26,Superior incompleto,PT,E,1958-06-06,,2003,,1296764.27,2786.68,1293977.59
73535,Jorge Tadeu Mudalen,M,SP,DEM,201,398,Superior completo,DEM,E,1955-01-03,,1991,,898811.32,4723.80,894070.08
73536,José Aníbal Peres De Pontes,M,SP,PSDB,142,26,Superior completo,PSDB,L,1947-08-09,,1991,,494463.03,2146.00,492317.03
73538,Jose Coimbra,,SP,PTB,436,,,,,,,1995,,0.00,0.00,0.00
73539,José Masci De Abreu,,SP,PSDB,436,160,Ensino médio incompleto,PTB,,1959-12-18,,1995,,0.00,0.00,0.00
73540,José Genoíno Neto,M,SP,PT,81,26,Superior incompleto,PT,L,1946-05-03,,1991,,413117.91,3400.93,408916.98
73541,Jose Machado,,SP,PT,436,,,,,,,1995,,0.00,0.00,0.00
73542,José Aristodemo Pinotti,M,SP,DEM,196,,,,V,1934-12-20,2009-07-01,2003,2007-04-23,0.00,0.00,0.00
73544,Koyu Iha,,,,436,,,,,,,1991,,0.00,0.00,0.00
73545,Luciano Zica,,SP,PT,436,,,,,,,1995,,0.00,0.00,0.00
73546,Luiz Carlos Santos,,SP,PFL,436,,,,,,,1991,,0.00,0.00,0.00
73547,Maluly Netto,,,,436,,,,,,,1991,,0.00,0.00,0.00
73548,Marcelo Fortes Barbieri,,SP,PMDB,436,,,,,,,1991,,0.00,0.00,0.00
73552,Michel Miguel Elias Temer Lulia,M,SP,PMDB,290,,,,V,1940-09-23,,1991,,290027.33,3245.85,286781.48
73553,Nelson Marquezelli,M,SP,PTB,399,26,Superior completo,PTB,E,1941-10-29,,1991,,1282695.75,4379.24,1278316.51
73554,Paulo César Marques De Velasco,,SP,PRONA,436,,,,,,,1995,,0.00,0.00,0.00
73555,Paulo César De Oliveira Lima,M,SP,PMDB,359,228,Superior completo,PMDB,E,1963-02-09,,1991,,43548.31,3428.67,40119.64
73556,Regis Fernandes De Oliveira,M,SP,PSC,210,26,Superior completo,PSC,E,1944-09-19,,1995,,508805.97,2123.70,506682.27
73557,Ricardo Nagib Izar,M,SP,PTB,199,,,,V,1938-07-28,2008-05-02,1991,,838858.18,8348.45,800651.78
73558,Robson Tuma,M,SP,DEM,206,199,Superior completo,PTB,E,1968-09-05,,1991,,21791.38,2098.67,19692.71
73559,Salvador Zimbaldi Filho,M,SP,PROS,170,228,Ensino médio completo,PDT,E,1955-06-05,,1995,2013-10-02,847177.73,14089.01,831958.78
73560,Silvio França Torres,M,SP,PSDB,232,26,Superior completo,PSDB,L,1946-06-01,,1995,,295277.16,2678.10,292599.06
73561,Telma Sandra Augusto De Souza,F,SP,PT,307,,,,E,1944-09-29,,1995,,28667.77,272.27,28395.50
73563,Ushitaro Kamia,,SP,PSB,436,,,,,,,1995,,0.00,0.00,0.00
73564,Etivaldo Vadão Gomes,M,SP,PP,75,228,Ensino fundamental completo,PP,E,1957-04-19,,1991,,221034.84,2273.12,218761.72
73565,Valdemar Costa Neto,M,SP,PR,40,44,Superior completo,PR,E,1949-08-11,,1991,,967866.42,75.22,967791.20
73566,Vicente Cascione,,SP,PTB,436,,,,,,,1995,,0.00,0.00,0.00
73567,Wagner Rossi,,SP,PMDB,436,,,,,,,1991,,0.00,0.00,0.00
73568,Celso Alencar Ramos Jacob,M,RJ,PMDB,0,45,Superior completo,PMDB,E,1957-01-19,,1999,,157170.05,797.68,156372.37
73569,Jorge Dos Reis Pinheiro,M,GO,PRB,172,75,Ensino médio completo,PRB,S,1966-10-12,,1999,,146692.34,470.77,146311.57
73570,Ivanio Guerra,,PR,PFL,436,,,,,,,1991,,0.00,0.00,0.00
73571,Osvaldo Sobrinho,,,,436,,,,,,,1999,,0.00,0.00,0.00
73572,João Magno,,MG,PT,436,,,,,,,1999,,0.00,0.00,0.00
73573,Yvonilton Gonçalves,,BA,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73574,Reginaldo Germano,,BA,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73575,Joel De Hollanda,,PE,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73576,Paulo De Almeida,,RJ,PFL,436,245,Superior completo,PDT,,1950-07-12,,1991,,0.00,0.00,0.00
73577,Tarcisio João Zimermmann,M,RS,PT,230,,,,V,1954-07-24,,1999,,0.00,0.00,0.00
73578,Ricardo Maranhão,,,PSB,436,,,,,,,1999,,0.00,0.00,0.00
73579,João Alberto Fraga Silva,M,DF,DEM,77,,,,E,1956-06-02,,1999,2007-04-23,260753.13,36.78,260716.35
73580,Ricardo Noronha,,,,436,,,,,,,1999,,0.00,0.00,0.00
73581,Aloízio Santos,,,,436,,,,,,,1999,,0.00,0.00,0.00
73582,Helenildo Ribeiro,,AL,PSDB,436,,,,,,,1999,,0.00,0.00,0.00
73583,Carlos Cury,,RO,PPB,436,,,,,,,1999,,0.00,0.00,0.00
73584,Antonio Carlos De Mendes Thame,M,SP,PSDB,382,398,Superior completo,PSDB,E,1946-06-13,,1999,,1015310.89,28042.81,976423.54
73585,Clovis Volpi,,,,436,,,,,,,1999,,0.00,0.00,0.00
73586,Júlio César Delgado,M,MG,PSB,417,26,Superior completo,PSB,E,1966-11-18,,1999,,1380613.39,4325.37,1375929.21
73587,José Aleksandro,,AC,PSL,436,,,,,,,1999,,0.00,0.00,0.00
73588,Carlos Mauro Cabral Benevides,M,CE,PMDB,183,26,Superior completo,PMDB,E,1930-03-21,,1999,,1605225.75,2857.26,1602368.49
73589,Antonio Jose Mota,,CE,PMDB,436,,,,,,,1999,,0.00,0.00,0.00
73591,Renato Silva,,,,436,,,,,,,1999,,0.00,0.00,0.00
73592,Kátia Abreu,,TO,,436,,,,,,,1999,,0.00,0.00,0.00
73593,Rainel Barbosa,,TO,PMDB,436,,,,,,,1999,,0.00,0.00,0.00
73594,Nilmar Gavino Ruiz,F,TO,PEN,283,26,Superior completo,PR,S,1956-02-05,,1999,2013-03-11,739117.75,6088.13,733029.62
73595,Chico Sardelli,,SP,PFL,436,,,,,,,1999,,0.00,0.00,0.00
73596,Saulo Coelho,,,,436,,,,,,,1991,,0.00,0.00,0.00
73599,Edir Pedro De Oliveira,M,RS,PTB,372,,,,S,1950-02-03,,1999,,380.48,0.00,380.48
73601,Moacir Piovesan,,PR,PDT,436,314,Superior completo,PSC,,1957-05-01,,1999,,0.00,0.00,0.00
73602,Manoel Vitório,,,,436,,,,,,,1999,,0.00,0.00,0.00
73603,Orlando Fantazzini,,SP,PT,436,,,,,,,1999,,0.00,0.00,0.00
73612,Paulo José Alves Rattes,M,RJ,PMDB,0,245,Superior completo,PMDB,E,1933-12-21,,2007,,369585.16,923.55,368661.61
73643,Wagner Amaral Salustiano,,SP,PPB,436,,,,,,,1995,,0.00,0.00,0.00
73644,Welson Gasparini,,,PPR,436,,,,,,,1995,,0.00,0.00,0.00
73645,Zulaie Cobra,,SP,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73646,Antônio Joaquim,,MT,PDT,436,,,,,,,1991,,0.00,0.00,0.00
73651,Rogerio Lucio Soares Da Silva,M,MT,PP,116,,,,E,1954-11-22,,1995,,458.17,0.00,458.17
73652,Aparecida Maria Borges Bezerra,,MT,PMDB,436,,,,,,,1995,,0.00,0.00,0.00
73653,Wellington Antonio Fagundes,M,MT,PR,223,26,Superior completo,PR,E,1957-06-01,,2003,,1092523.62,9771.22,962752.40
73654,Agnelo Santos Queiroz Filho,,DF,PCDOB,436,,,,,,,1995,,0.00,0.00,0.00
73655,Augusto Silveira De Carvalho,M,DF,SDD,0,26,Superior completo,PPS,E,1953-07-27,,1991,2013-10-01,841810.77,2543.34,819467.43
73658,Jofran Frejat,M,DF,PR,196,,,,E,1937-05-19,,1991,,251437.56,213.19,251224.37
73659,Maria Laura,,,,436,,,,,,,1991,,0.00,0.00,0.00
73660,Osório Adriano Filho,M,DF,DEM,137,,,,S,1929-07-10,,1991,2007-04-23,38572.85,40.00,38532.85
73661,Wigberto Tartuce,,DF,PPB,436,,,,,,,1995,,0.00,0.00,0.00
73662,Aldo Arantes,,GO,PCDOB,436,,,,,,,1995,,0.00,0.00,0.00
73666,Jovair De Oliveira Arantes,M,GO,PTB,2,26,Superior completo,PTB,E,1951-06-04,,1995,,1545841.48,130027.43,1415814.05
73667,Lidia Quinan,,GO,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73672,Pedro Canedo,,,PSDB,436,,,,,,,1995,,0.00,0.00,0.00
73673,Pedro Wilson Guimarães,M,GO,PT,433,,,,E,1942-02-24,,1995,,503746.91,3304.42,500442.49
73674,Roberto Egídio Balestra,M,GO,PP,138,26,Superior completo,PP,E,1944-05-24,,1991,,1123388.39,30964.85,1089051.91
73676,Sandro Antonio Scodro,M,GO,PMDB,399,26,Superior completo,PR,E,1958-12-31,,1995,2011-11-03,1488019.44,12243.60,1473784.04
73677,Vilmar Da Silva Rocha,M,GO,PSD,264,397,Superior completo,DEM,L,1951-02-14,,1991,2011-10-26,561.16,0.00,561.16
73678,Zé Gomes Da Rocha,,GO,PMDB,436,,,,,,,1991,,0.00,0.00,0.00
73679,Andre Puccinelli,,MS,PMDB,436,,,,,,,1995,,0.00,0.00,0.00
73680,Dilso Sperafico,,,,436,,,,,,,1995,,0.00,0.00,0.00
73681,Ariston Andrade,,,,436,,,,,,,1999,,0.00,0.00,0.00
73682,João Eduardo Dado Leite De Carvalho,M,SP,SDD,102,18,Superior completo,PDT,E,1954-12-16,,2003,2013-10-01,1278369.18,21923.98,1254093.20
73683,Ary José Vanazzi,,RS,PT,436,,,,,,,1999,,0.00,0.00,0.00
73684,Orlando Desconsi,,RS,PT,436,,,,,,,1999,,0.00,0.00,0.00
